;lnk;name;company;date_valid
225;https://jobs.ge/ge/?view=jobs&id=377650;ინფორმაციული უსაფრთხოების სპეციალისტი;Exactpro;03 ივნისი-03 ივლისი
226;https://jobs.ge/ge/?view=jobs&id=377648;პროგრამული უზრუნველყ. უმცროსი ტესტერი - დისტანციური;Exactpro;03 ივნისი-03 ივლისი
227;https://jobs.ge/ge/?view=jobs&id=377626;პროგრამისტი;პსპ დაზღვევა;03 ივნისი-30 ივნისი
228;https://jobs.ge/ge/?view=jobs&id=377508;Power BI-ს დეველოპერი;UGT;03 ივნისი-03 ივლისი
229;https://jobs.ge/ge/?view=jobs&id=377499;IT მხარდაჭერის უმცროსი სპეციალისტი;EGT Georgia;03 ივნისი-03 ივლისი
230;https://jobs.ge/ge/?view=jobs&id=377497;ტექნიკური ლიდი;Singular;03 ივნისი-03 ივლისი
231;https://jobs.ge/ge/?view=jobs&id=377453;Java დეველოპერი;DataArt;03 ივნისი-03 ივლისი
232;https://jobs.ge/ge/?view=jobs&id=377452;უფროსი .NET დეველოპერი;DataArt;03 ივნისი-03 ივლისი
233;https://jobs.ge/ge/?view=jobs&id=377429;გრაფიკული დიზაინერი;Citrus.ge;03 ივნისი-03 ივლისი
234;https://jobs.ge/ge/?view=jobs&id=377327;დამხმარე ინსტალატორი;სერვის ნეტ გრუპი;02 ივნისი-02 ივლისი
235;https://jobs.ge/ge/?view=jobs&id=377326;ოპტიკური ქსელის სპეციალისტი;სერვის ნეტ გრუპი;02 ივნისი-02 ივლისი
236;https://jobs.ge/ge/?view=jobs&id=377141;ბიზნეს ანალიტიკოსი;არესემ საქართველო სოლუშენსი;02 ივნისი-02 ივლისი
237;https://jobs.ge/ge/?view=jobs&id=377140;.Net დეველოპერი;არესემ საქართველო სოლუშენსი;02 ივნისი-02 ივლისი
238;https://jobs.ge/ge/?view=jobs&id=377114;IT სისტემის ადმინისტრატორი;ზირაათ ბანკი;02 ივნისი-01 ივლისი
239;https://jobs.ge/ge/?view=jobs&id=377088;ჯავის უფროსი დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;02 ივნისი-02 ივლისი
240;https://jobs.ge/ge/?view=jobs&id=377087;ჯავის დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;02 ივნისი-02 ივლისი
241;https://jobs.ge/ge/?view=jobs&id=377086;ჯავის უმცროსი დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;02 ივნისი-02 ივლისი
242;https://jobs.ge/ge/?view=jobs&id=377039;უფროსი Backend ინჟინერი;Theneo;01 ივნისი-01 ივლისი
243;https://jobs.ge/ge/?view=jobs&id=377032;Manual QA სპეციალისტი;Theneo;01 ივნისი-01 ივლისი
244;https://jobs.ge/ge/?view=jobs&id=377015;UX/UI გუნდის ხელმძღვანელი;Flat Rock Technology;01 ივნისი-01 ივლისი
245;https://jobs.ge/ge/?view=jobs&id=377018;პროგრამული უზრუნველყოფის გაყიდვების სპეციალისტი;Flat Rock Technology;01 ივნისი-01 ივლისი
246;https://jobs.ge/ge/?view=jobs&id=377011;უფროსი PHP ვებ დეველოპერი;Flat Rock Technology;01 ივნისი-01 ივლისი
247;https://jobs.ge/ge/?view=jobs&id=377009;Front-End გუნდის ლიდერი;Flat Rock Technology;01 ივნისი-01 ივლისი
248;https://jobs.ge/ge/?view=jobs&id=377007;.Net დეველოპერი;Flat Rock Technology;01 ივნისი-01 ივლისი
249;https://jobs.ge/ge/?view=jobs&id=376996;ინფორმაციული  უსაფრთხოების სპეციალისტი;თიბისი ფეი;01 ივნისი-01 ივლისი
250;https://jobs.ge/ge/?view=jobs&id=376992;.Net დეველოპერი;თიბისი ფეი;01 ივნისი-01 ივლისი
251;https://jobs.ge/ge/?view=jobs&id=376939;უმცროსი Java დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;01 ივნისი-01 ივლისი
252;https://jobs.ge/ge/?view=jobs&id=376944;უფროსი Java დეველოპერი;საქართველოს ოპერატიულ-ტექნიკური სააგენტო;01 ივნისი-01 ივლისი
