,name,price
133,"ჩიფსი კარტოფილის ""ლეისი"" ყველის 81გრ",3
134,"ჩიფსი კარტოფილის ""ლეისი"" რიდჯი ყველი და ხახვი 140გრ",4.6
135,"ჩიფსი კარტოფილის ""ლეისი"" პაპრიკა 67გრ",3
136,"ჩიფსი კარტოფილის ""ლეისი"" პაპრიკა 155გრ",4.6
137,"ჩიფსი სიმინდის ""დორიტოსი"" ტაგო 130გრ",4.5
138,"ჩიფსი სიმინდის ""დორიტოსი"" აკილი 130გრ",4.5
139,"ჩიფსი კარტოფილის ""ლეისი"" რიდჯი პაპრიკა 140გრ",4.6
140,"ჩიფსი სიმინდის ""დორიტოსი"" აკილი 74გრ",2.29
141,"ჩიფსი კარტოფილის ""ლეისი"" პაპრიკა 20გრ",1.2
142,"ჩიფსი სიმინდის ""დორიტოსი"" ნაჩო 130გრ",4.5
143,"ჩიფსი კარტოფილის ""ლეისი"" ბეკონი 140გრ",4.6
144,"ჩიფსი კარტოფილის ""ფრიქსი"" ბარბექიუს გემოთი 70გრ",2.7
145,"ჩიფსი კარტოფილის ""ლეისი"" შემწვარი ნეკნების გემოთი 150გრ",4.3
146,"ჩიფსი კარტოფილის ""ლეისი"" ბეკონი 81გრ",2.8
147,"ჩიფსი კარტოფილის ""ლეისი"" შემწვარი ნეკნების გემოთი 140გრ",4.6
148,"ჩიფსი კარტოფილის ""ლეისი"" რიდჯი ყველი და ხახვი 150გრ",4.3
149,"ჩიფსი კარტოფილის ""ლეისი"" რაფლსი კეტჩუპი 69გრ",2.4
150,"ჩიფსი კარტოფილის ""ლუქსი"" ყველის გემოთი 71გრ",2.6
151,"ჩიფსი კარტოფილის ""ლუქსი"" ყველის გემოთი 133გრ",4.8
152,"ჩიფსი კარტოფილის ""ლეისი"" ყველის 150გრ",4.3
153,"ჩიფსი კარტოფილის ""ლუქსი"" წიწაკის გემოთი 133გრ",4.8
154,"ჩიფსი კარტოფილის ""ლუქსი"" პაპრიკის გემოთი 71გრ",2.6
155,"ჩიფსი კარტოფილის ""ფრიქსი"" აჯიკის გემოთი 70გრ",2.7
156,"ჩიფსი კარტოფილის ""ლეისი"" რიდჯი პაპრიკა 150გრ",4.3
157,"წვენი ""სანდორა"" ტომატი 0,97ლ (ტეტრაპაკი)",4.95
158,"წვენი ""სანდორა"" ანანასი 0,97ლ (ტეტრაპაკი)",4.95
159,"წვენი ""სანდორა"" ატამი 0,97ლ (ტეტრაპაკი)",4.95
160,"წვენი ""სანდორა"" ალუბალი 0,97ლ (ტეტრაპაკი)",4.95
161,"წვენი ""სანდორა"" მულტიხილი 0,97ლ (ტეტრაპაკი)",4.95
162,"წვენი ""სანდორა"" ვაშლი 0,97ლ (ტეტრაპაკი)",4.95
163,"წვენი ""სანდორა"" ბროწეული 0,97ლ (ტეტრაპაკი)",4.95
164,"წვენი ""სადაჩოკ"" მულტიხილი 0,95ლ",3.75
165,"წვენი ""სანდორა"" ფორთოხალი 0,97ლ (ტეტრაპაკი)",4.95
